dag,reviewer,param_key,param_val,is_default,seed,app_timeout_rate,delay_succ,delay_all,UtilityScore_all,UtilityScore_succ,energy
default,R1-6,LAMBDA_GUIDE,0p05,False,3,0.12,1.3704329105967477,1.3045203538415935,0.3545524126417019,0.35175725833640153,0.22721274338924188
default,R1-6,LAMBDA_GUIDE,0p1,False,3,0.15333333333333332,1.3729752744380141,1.313781867921211,0.15018531799590937,0.14738090741358673,0.22697287670313193
default,R1-6,LAMBDA_GUIDE,0p2,False,3,0.13333333333333333,1.3810215675319992,1.3238090057399197,0.27519928941332517,0.2726353445529467,0.22708763322757833
default,R1-6,LAMBDA_GUIDE,0p4,False,3,0.16,1.3780857622852771,1.3077962256758704,0.1069524695684155,0.10358471010213584,0.22387640246567306
default,R1-6,LAMBDA_GUIDE,0,False,3,0.16666666666666666,1.3809889933332746,1.3130117083110668,0.06301532871574263,0.05973426467431216,0.22530742467518028
default,R1-6,LAMBDA_GUIDE,0p05,False,5,0.15333333333333332,1.3138995365844408,1.2684269656903229,0.14808062089355428,0.1459251026431404,0.19920387311718288
default,R1-6,LAMBDA_GUIDE,0p1,False,5,0.14,1.2815064213698664,1.2461950942867603,0.23645076517594485,0.234834943182413,0.20182708801389262
default,R1-6,LAMBDA_GUIDE,0p2,False,5,0.16666666666666666,1.2799671271546684,1.242307692513974,0.06627721880460825,0.06446043090710724,0.19972033041349818
default,R1-6,LAMBDA_GUIDE,0p4,False,5,0.17333333333333334,1.2879979507605601,1.2464650272751143,0.021669066294278793,0.01965767211083868,0.19955133900652297
default,R1-6,LAMBDA_GUIDE,0,False,5,0.16666666666666666,1.3113053591727808,1.2655515134881021,0.061570385815321364,0.05936173542086594,0.19885883866487894
default,R1-6,LAMBDA_GUIDE,0p05,False,7,0.04666666666666667,1.0976307286952334,1.0838799648692026,0.6601939321834487,0.659817923324629,0.1951472571537421
default,R1-6,LAMBDA_GUIDE,0p1,False,7,0.02666666666666667,1.0958531714866488,1.0834954998614064,0.6895451445727429,0.6892309674939396,0.1956737695466647
default,R1-6,LAMBDA_GUIDE,0p2,False,7,0.04666666666666667,1.0953623761142477,1.0806164751397764,0.6604804859415863,0.6600775230618564,0.19444995158296116
default,R1-6,LAMBDA_GUIDE,0p4,False,7,0.04,1.086689967350167,1.0732205046014807,0.672902395228426,0.6725451394687311,0.1955215398958975
default,R1-6,LAMBDA_GUIDE,0,False,7,0.05333333333333334,1.0946557191033401,1.080603918428873,0.6462404716887349,0.6458438150231557,0.19542839361867262
default,R1-6,LAMBDA_GUIDE,0p05,False,42,0.03333333333333333,1.0908960231978189,1.0838303148299788,0.6759112109122536,0.6757252329376963,0.20063417535135847
default,R1-6,LAMBDA_GUIDE,0p1,False,42,0.03333333333333333,1.0912293433601832,1.081464329224702,0.6760820645697374,0.6758251241898324,0.20034779905019548
default,R1-6,LAMBDA_GUIDE,0p2,False,42,0.02,1.0928250087525224,1.085007674952388,0.6905346186877181,0.6903364209540449,0.20008910536492094
default,R1-6,LAMBDA_GUIDE,0p4,False,42,0.04666666666666667,1.0975230902119684,1.085537755726931,0.6542119500656302,0.6538796682558724,0.19942898420563013
default,R1-6,LAMBDA_GUIDE,0,False,42,0.04666666666666667,1.0965975035737094,1.0863590532639873,0.6543607657138296,0.6540770269010263,0.20036829671505646
